Year,reconPDSI,obsPDSI
1552,-4.72347776,
1553,1.30578258,
1554,0.71339511,
1555,-0.01688457,
1556,1.64611162,
1557,1.89505205,
1558,-1.01018259,
1559,0.419599,
1560,0.93227699,
1561,-1.50356249,
1562,1.80745385,
1563,-3.02396496,
1564,1.6800352,
1565,2.66135726,
1566,-0.18704233,
1567,-0.68161785,
1568,0.65610052,
1569,2.60939254,
1570,-0.49791039,
1571,-0.81870587,
1572,-0.47027233,
1573,-2.53502702,
1574,1.03349032,
1575,0.51702647,
1576,-1.02438691,
1577,1.6161088,
1578,0.87296844,
1579,-5.2603972,
1580,0.07672863,
1581,-2.36077522,
1582,-0.70009806,
1583,-0.51403545,
1584,-2.1620558,
1585,-1.2113408,
1586,-1.06774415,
1587,-3.24062061,
1588,1.35246488,
1589,0.65740414,
1590,-2.70853926,
1591,-2.78264317,
1592,1.86221755,
1593,0.34499706,
1594,2.27337326,
1595,1.27991762,
1596,4.2899722,
1597,-0.49145045,
1598,-3.3654578,
1599,-1.11109196,
1600,-1.31097757,
1601,-1.95621151,
1602,0.55968576,
1603,2.53922197,
1604,-0.44821823,
1605,-0.80477131,
1606,-1.07759841,
1607,0.48712945,
1608,-1.27940555,
1609,-1.96726572,
1610,0.89358751,
1611,0.7441966,
1612,-2.45280335,
1613,0.4843618,
1614,-0.71181023,
1615,-0.30243726,
1616,-2.08265507,
1617,0.32135279,
1618,2.28229244,
1619,4.99248241,
1620,2.31625123,
1621,1.38723969,
1622,-2.0743207,
1623,-0.03231825,
1624,-0.58897246,
1625,-2.63360304,
1626,-0.53610314,
1627,-1.37255317,
1628,-0.90245697,
1629,0.81574539,
1630,-0.48705039,
1631,-3.71462574,
1632,-2.24623551,
1633,-0.58369175,
1634,0.98853461,
1635,1.30663514,
1636,2.85350317,
1637,1.62092911,
1638,-1.50355366,
1639,1.1679978,
1640,0.08564788,
1641,-1.07604174,
1642,3.48244951,
1643,2.7882498,
1644,0.42620575,
1645,-4.65956934,
1646,2.14274589,
1647,0.68494586,
1648,-1.21625618,
1649,0.97235655,
1650,-3.23470044,
1651,2.1332424,
1652,-0.66111222,
1653,0.06983916,
1654,-4.93626888,
1655,2.68533616,
1656,1.28882289,
1657,1.32632394,
1658,0.12521141,
1659,-0.8979426,
1660,2.56512453,
1661,2.24391979,
1662,2.01152942,
1663,0.62457532,
1664,-0.32287146,
1665,-1.11772881,
1666,-2.6623641,
1667,-0.69778643,
1668,-2.57152744,
1669,-1.01623111,
1670,-1.56511689,
1671,-0.27393919,
1672,-1.98880224,
1673,-0.28823641,
1674,1.92348088,
1675,-2.08716519,
1676,-0.3807066,
1677,0.71625715,
1678,1.97838434,
1679,-3.06834075,
1680,2.40151039,
1681,-1.80502014,
1682,-3.71071074,
1683,3.78645128,
1684,-2.71616348,
1685,-2.99451173,
1686,-1.75139539,
1687,-0.13698415,
1688,-0.58671988,
1689,-0.44917007,
1690,-1.03149257,
1691,-0.19032899,
1692,2.60157111,
1693,1.35460054,
1694,-1.72579189,
1695,0.7241447,
1696,-1.01763081,
1697,1.35887876,
1698,-1.00019883,
1699,-2.17151238,
1700,0.2851793,
